text;class
pas cher du tout éco;éco
très bon marché ;éco
très peu cher ;éco
bas de gamme ;éco
moins de dix euros ;éco
je souhaite un restaurant à prix modique ;éco
vraiment pas cher;éco
modique ;éco
un bistrot pas cher ;éco
plutôt un troquet ;éco
pas plus cher qu'un macdo ;éco
un menu moins de quinze ;éco
éco;éco
économique ;éco
ma bourse est vide ;éco
un routier ;éco
une cantine ;éco
j’ai pas un sou ;éco
j’ai des soucis d’argent ;éco
je dois écnomiser ;éco
je n’ai pas de souci d’argent ;éco
pas plus cher qu’à la maison ;éco
pas cher ;éco
bon marché ;éco
peu onéreux ;éco
moins de vingt euros ;éco
un repas copieux moins de vingt ;éco
une creperie ;éco
un chinois ;éco
un japonais ;éco
une pizza ;éco
un grec ;éco
un indien ;éco
je ne veux pas trop dépenser ;éco
avec un menu pas cher le midi ;éco
un self ;éco
je veux juste des sandwichs ;éco
avantageux ;éco
je ne suis pas très riche ;éco
un restaurant pour toutes les bourses éco;éco
moyen de gamme;moyen
moins de trente euros ;moyen
pas un trois étoiles ;moyen
bon rapport qualité prix ;moyen
peu importe le prix ;moyen
ni cher ni pas cher ;moyen
si c'est bon alors cher si c'est pas bon alors pas cher ;moyen
y'a pas de pb;cher
aucun problème d'argent;cher
ce n'est pas une histoire de sou;cher
plutôt cher;cher
je suis riche ;cher
ma bourse est pleine ;cher
standing ;cher
super standing ;cher
un truc chicos ;cher
luxe ;cher
luxueux ;cher
un resto pour le gratin ;cher
je m’en fous ;cher
je m’en fiche ;cher
c’est pas un problème ;cher
cher ;cher
moins de cent euros par personne ;cher
gastronomique ;cher
haut de gamme ;cher
plus de vingt ;cher
un plat à vingt ;cher
j’ai les moyens ;cher
un qui soit dans le michelin ;cher
un recommandé par gault et millaut ;cher
un bon repas ;cher
un très bon ;cher
